u1,u2,u3,u4
-2.9998893919138307,-3.0001106080931863,1.999081880840463,-4.0
-2.9997147023651793,-3.0002852976376975,1.9989661957834612,-3.9999999999995417
-2.9995982624517126,-3.000401737548402,1.9988890841260003,-3.999999999999236
-2.999075341729432,-3.000924658269016,1.9976689234018834,-3.999999999999738
-2.9988011477634777,-3.0011988522363366,1.9970268269701565,-3.999999999999976
-2.9987432137070913,-3.001256786292909,1.9637243891192624,-3.9340675476077096
-2.2166774928858586,-2.2195707768140047,1.4075642250496712,-2.8209970168641116
-1.4972051485118951,-1.4992791391018947,1.0194419976085471,-2.044170126838518
-0.9838403251525741,-0.9858777485014908,0.7745254953872962,-1.5550098036877322
-0.6304440904303699,-0.6315232410384003,0.6219723391861104,-1.247755529230091
-0.38813263134502024,-0.3893707338944841,0.5247189990380386,-1.0529329439530175
-0.22292600274130842,-0.22492607827674993,0.4599396826247738,-0.9255017827492666
-0.11001515926642846,-0.11252312853201576,0.41894304611050814,-0.8448062323471293
-0.03294934453216164,-0.035746691443213754,0.39306730545934265,-0.7937210158982122
0.019691393810572493,0.016812188628593863,0.37714767355922174,-0.7620631217423783
0.05586095036066095,0.05283697504666386,0.3676153271734624,-0.743328886167648
0.08083479334968344,0.07783039303770509,0.3625584062270845,-0.7332561308228878
0.09821650502275243,0.09517891765826283,0.3604191942633496,-0.7290168401926023
0.11043628545983454,0.10739393674034467,0.36022271939626804,-0.7287356449305615
0.11922710605389183,0.1161211230770232,0.36134352797788494,-0.7310778135269447
0.12565445507376885,0.12250101273739872,0.3633786855083236,-0.7352442877659382
0.1304877383075166,0.12729421846897,0.36603527804827246,-0.740650448441051
0.13424419031986357,0.1310148409387767,0.36911582124244313,-0.7469060649911267
0.13727469488629818,0.134010726955316,0.37248915352643774,-0.7537499211482631
0.13981691194010643,0.1365180104654995,0.37606740909111797,-0.7610062164219623
0.14203121137849642,0.1386968161254455,0.37979105513843886,-0.7685535616497396
0.14401088165100623,0.14061980423090217,0.38341556757380424,-0.7763052661900566
0.14590890806338497,0.14245745138230295,0.3873689574618596,-0.7843013901959217
0.14768479879580504,0.14416943524987044,0.3913590492289702,-0.7923836809652891
0.14939024782346044,0.14581455803534657,0.39538030475779107,-0.8005379177755153
0.15106320533941633,0.14737672151349993,0.3993461233463431,-0.8087737277396961
0.15271838964479745,0.14894166937335487,0.4033760783720445,-0.8170448052777364
0.15434891991546792,0.15050032548302136,0.40745474059740866,-0.8253662979306821
0.1559642996484104,0.15205452063004704,0.4115659298050726,-0.8337326542500962
0.1575719128289203,0.15360658277087166,0.41570151254857446,-0.842139144483699
0.1591763050549593,0.15515837762181037,0.4198567697485041,-0.8505815498995244
0.16078021543197488,0.1567112352616785,0.42402870535590137,-0.8590562262513616
0.16238526041915016,0.15826601745409974,0.42821518830457056,-0.8675599515915541
0.16399234570214516,0.15982321234369953,0.4324145179656132,-0.8760897748307654
0.16560191981610495,0.16138302902678284,0.4366252150047442,-0.8846429245796134
0.16721412672293381,0.16294547259520684,0.44084590890593434,-0.8932167233665452
0.1688289041597187,0.16451040009092746,0.4450752756862002,-0.9018085314847508
0.17044604997382848,0.16607756029902002,0.44931200327670684,-0.9104157103244835
0.1720652613897106,0.1676466256083276,0.45355477533764055,-0.919035598435321
0.17367197293594158,0.16926746859108008,0.45790012967363175,-0.9276527332247464
0.1752701521156693,0.17085588228806015,0.4622057189473684,-0.9362953034592161
0.17687788831636667,0.17243551414581537,0.4664861702803791,-0.9449415211523118
0.17849200792089745,0.17401148459346452,0.4707546199831115,-0.9535878855830445
0.1801092109044925,0.17558553422994538,0.4750162432998038,-0.9622317909183397
0.18172743116670736,0.17715806727164174,0.47927261489543166,-0.970870483439337
0.1833452943578632,0.17872890957253812,0.4835236144094534,-0.9795010098968773
0.1849617745646611,0.18029762616754744,0.4877683132231385,-0.9881202575441301
0.18657601511559066,0.18186366011007918,0.4920053751627515,-0.9967249703781251
0.18818724194592856,0.18342639634899774,0.4962332584960188,-1.0053117735758723
0.18979471441795093,0.18498519168837987,0.5004502991109845,-1.0138771832955544
0.19139770892244973,0.18653937918395866,0.5046547508595294,-1.0224176134460883
0.19299550285986167,0.18808827592685115,0.5088448027824806,-1.0309293801747812
0.19458736752351247,0.1896311837066285,0.5130185913809807,-1.0394087051844767
