l1,l2,l3,l4,l5,l6
0.2000918119159537,-0.30001106080931866,-0.4,-0.2999889391913831,0.1999081880840463,0.6000000000007017
0.40019519233756173,-0.6000395905730884,-0.7999999999999542,-0.599960409427901,0.39980480766239246,1.2000000000009896
0.6003062839248853,-0.9000797643279286,-1.1999999999998778,-0.8999202356730722,0.5996937160749924,1.8000000000010012
0.8005393915846708,-1.20017223015483,-1.5999999999998518,-1.1998277698460154,0.7994606084151807,2.400000000000846
1.0008367088876529,-1.5002921153784639,-1.9999999999998495,-1.4997078846223633,0.9991632911121964,3.0000000000008273
1.1978710247364976,-1.8004177940077548,-2.3934067547606204,-1.7995822059930724,1.1955357300241225,3.6000000000008274
1.3392143039179416,-2.022374871689155,-2.6755064564470317,-2.0212499552816583,1.3362921525290896,4.043624826970814
1.4416871168409386,-2.172302785599345,-2.8799234691308833,-2.170970470132848,1.4382363522899444,4.343273255732193
1.5197355476709822,-2.270890560449494,-3.0354244494996565,-2.2693545026481052,1.515688901828674,4.540245063097599
1.5823138666753802,-2.334042884553334,-3.1602000024226657,-2.332398911691142,1.577886135747285,4.6664417962444755
1.6351352611668781,-2.3729799579427824,-3.2654932968179673,-2.371212174825644,1.630358035651089,4.7441921327684256
1.6816914711793274,-2.3954725657704574,-3.358043475092894,-2.393504775099775,1.6763520039135664,4.788977340870232
1.7242777898029895,-2.406724878623659,-3.4425240983276066,-2.404506291026418,1.7182463085246171,4.8112311696500765
1.7643431608468765,-2.41029954776798,-3.521896199917428,-2.407801225479634,1.7575530390705514,4.818100773247614
1.802834705665192,-2.4086183289051206,-3.598102512091666,-2.405832086098577,1.7952678064264735,4.814450415003697
1.8404060615646107,-2.4033346314004542,-3.6724354007084306,-2.4002459910625107,1.8320293391438198,4.803580622462965
1.877475834024191,-2.395551592096684,-3.745761013790719,-2.3921625117275425,1.8682851797665283,4.787714103824226
1.9143355986171162,-2.3860337003308576,-3.8186626978099794,-2.3823408612252672,1.9043270991928634,4.768374561556124
1.9511868911705457,-2.3752943066568233,-3.8915362623030356,-2.3712972326792836,1.9403493711324902,4.746591539336106
1.9881603197254516,-2.363682194349121,-3.96464404365573,-2.3593745220738946,1.9764837239302786,4.723056716423015
2.025346879951213,-2.351432093075381,-4.038168472432324,-2.346809076566518,2.012821592481111,4.698241169641898
2.062808396990491,-2.338702671228484,-4.1122335172764295,-2.333760302735766,2.0494251202859384,4.672462973964249
2.1005874213653595,-2.3256011871346063,-4.186924123775542,-2.3203358837037795,2.0863367024101827,4.645937070838385
2.138713498127542,-2.3122001144390745,-4.262299115890368,-2.3066084142151495,2.1235856177628265,4.618808528654223
2.1772073788606265,-2.2985483133925246,-4.338399737532565,-2.292626723021139,2.161192358671938,4.591175036413662
2.2160836295117567,-2.28467863177998,-4.415255093697539,-2.278423601883289,2.199171464185782,4.563102233663268
2.255372599373382,-2.2706166513568897,-4.492885620316544,-2.2640225137181886,2.2375130209431626,4.5346391650750775
2.295065842646788,-2.256370906218659,-4.571315759336136,-2.24943162291185,2.2762499166893484,4.505802529130508
2.33516830582042,-2.241953962693672,-4.650554127432665,-2.2346631430322694,2.3153858216122454,4.476617105725941
2.3756840671221924,-2.2273725068901373,-4.730607919210216,-2.2197241182499234,2.3549238520880245,4.44709662514006
2.4166268275615277,-2.2126348347387874,-4.811485291984186,-2.204617797715982,2.3948584644226587,4.417252632454768
2.457993700252097,-2.197740667801452,-4.89318977251196,-2.189345958751502,2.4351960722598633,4.387086626552953
2.4997848559854243,-2.1826906352531497,-4.975726402305028,-2.1739110667599553,2.4759415463196044,4.356601702013104
2.542001528429927,-2.167485183190145,-5.059099667730038,-2.1583146367951143,2.5170981393001117,4.325799819985258
2.5846452916234393,-2.1521245249130576,-5.143313582178408,-2.1425574455122223,2.5586682905549694,4.294681970425279
