x_m,y_m,z_m
0.0036726107100831734,-1.3005806723493175e-07,0.3399756257807217
0.00734452207661111,-1.854046001219924e-07,0.3399025083602137
0.011015034917432385,-1.9101407707955723e-07,0.3397806634490798
0.01468345037324719,-1.5665804543138105e-07,0.3396101172267315
0.01834907006884932,-1.0216747275913968e-07,0.3393909063359939
0.021999262678483497,-8.603235520444745e-08,0.3391242090352668
0.02467962720009482,1.1591252328482439e-07,0.3388977199589228
0.026513746320900276,1.4701831514894744e-07,0.33872718816038583
0.027756843670156676,9.718918186613241e-08,0.3386038628416634
0.028598324393321817,1.8579949023660302e-09,0.33851625232566396
0.02916786981763627,-1.5278322701716203e-08,0.33845447295609327
0.029553389055816705,-4.01860962193248e-08,0.33841093217716567
0.02981432262891751,-5.766539338040274e-08,0.3383800653476009
0.029990931950153024,-6.32441194477407e-08,0.3383579156806643
0.030110477365795,-6.470827966541813e-08,0.33834171598615936
0.03019140426530296,-5.99249422169477e-08,0.3383295526156468
0.03024612466760876,-6.498653118642916e-08,0.3383201184188187
0.030283127239368095,-6.477826493110026e-08,0.3383125099954195
0.030308150021167678,-7.495766744827523e-08,0.3383061117753087
0.030325041227973908,-7.771280091061713e-08,0.3383005085684225
0.03033642830877134,-7.715710907867457e-08,0.33829541518199024
0.030344086622498892,-7.504501256583319e-08,0.3382906378527913
0.03034921788592674,-7.274189260525934e-08,0.33828604458713163
0.030352635759273463,-7.087063603631424e-08,0.33828154527668874
0.030354891017094137,-6.961541523608063e-08,0.33827707823617564
0.030356356165975665,-6.88471418986002e-08,0.3382726010916087
0.030357307106572164,-1.0482107310167777e-07,0.33826808202414255
0.030357869132599226,-1.3312733163175845e-07,0.3382635048263348
0.030358178444818106,-1.541095937655182e-07,0.3382588529501219
0.030358314767249935,-1.6978991482840594e-07,0.3382541158574226
0.030358348886262033,-1.8609990065626828e-07,0.3382492838469553
0.030358294237297828,-1.9909198342908461e-07,0.33824435353794197
0.03035817476052222,-2.0902464952405587e-07,0.33823932030932746
0.0303580078614616,-2.168008509784735e-07,0.3382341802318985
0.030357805351018743,-2.231052626450904e-07,0.3382289299664616
